Date,Open,High,Low,Close,Adj Close,Volume
9/26/2012,16.975,17.950001,16.969999,17.870001,16.069799,2362600
9/27/2012,17.934999,17.969999,17.705,17.764999,15.975374,1217000
9/28/2012,17.655001,17.745001,17.52,17.530001,15.764051,1430600
10/1/2012,17.469999,17.655001,17.285,17.584999,15.81351,1748400
10/2/2012,17.620001,17.860001,17.6,17.84,16.042826,947000
10/3/2012,17.98,18.415001,17.764999,18.205,16.371054,1384000
10/4/2012,18.205,18.27,17.985001,18.145,16.317097,942000
10/5/2012,18.235001,18.58,18.165001,18.26,16.420511,672000
10/8/2012,18.24,18.57,18.145,18.475,16.613853,1593600
10/9/2012,18.389999,18.395,18,18.215,16.380049,1123800
10/10/2012,18.25,18.389999,17.924999,18.285,16.442993,1134000
10/11/2012,18.309999,18.385,18.139999,18.280001,16.438494,881400
10/12/2012,18.33,18.504999,18.215,18.41,16.555401,647600
10/15/2012,18.51,18.584999,18.295,18.549999,16.681301,643400
10/16/2012,18.625,18.735001,18.455,18.73,16.84317,1140200
10/17/2012,18.74,18.885,18.450001,18.885,16.98255,1112600
10/18/2012,18.9,19.205,18.9,19.084999,17.162401,1351200
10/19/2012,19.045,19.09,18.790001,18.885,16.98255,1194200
10/22/2012,18.82,19.200001,18.799999,19.040001,17.121939,1262400
10/23/2012,18.995001,19.184999,18.76,19.110001,17.184889,1260000
10/24/2012,19.219999,19.295,19.065001,19.174999,17.243336,1392000
10/25/2012,19.15,19.215,18.834999,19.084999,17.162401,1402800
10/26/2012,19.059999,19.165001,18.625,19.145,17.216358,2113600
10/31/2012,19.025,19.195,18.625,19.120001,17.193878,1515800
11/1/2012,19.125,19.5,18.825001,19.5,17.535597,2068800
11/2/2012,19.559999,19.690001,19.41,19.52,17.553583,1334200
11/5/2012,19.584999,20.07,19.545,20.065001,18.043678,2141600
11/6/2012,20.094999,20.75,19.885,20.73,18.641687,2213800
11/7/2012,20.584999,20.584999,20.045,20.225,18.187559,1898400
11/8/2012,20.245001,20.719999,20.110001,20.58,18.506798,2022800
11/9/2012,20.48,20.73,20.18,20.344999,18.295467,1566600
